Status,Name,Region,Country,Continent,Site(ac),Area(sq ft),High(ft),Announcement,Groundbreaking,Groundbreakingby,Dedication,Dedicationby,Rms(1),Rms(2),Center(3),Food(4),Style,Designer
31Operating,Taipei Taiwan Temple edit,Taipei,Taiwan,Asia,0.5,9945,126,31 March 1982,27 August 1982,Gordon B. Hinckley,17 November 1984,Gordon B. Hinckley,4,3,No,No,"Sloping roof, six spire",Church A&E Services with Philip fei & Associations
32Operating,Guatemala City Guatemala Temple edit,Guatemala,Guatemala,North America,1.4,11610,126,1 April 1981,12 September 1982,Richard G. Scott,14 December 1984,Gordon B. Hinckley,4,3,No,Full,"Sloping roof, six-spire",Church A&E Services and Jose Asturias
33Operating,Freiberg Germany Temple edit,Saxony,Germany,Europe,3.58,21500,0,9 October 1982,23 April 1983,Thomas S. Monson,29 June 1985,Gordon B. Hinckley,2,2,No,No,"Sloping roof, single spire",Emil B. Fetzer and Rolf Metzner
34Operating,Stockholm Sweden Temple edit,Stockholm,Sweden,Europe,4.47,16366,112,1 April 1981,17 March 1984,Thomas S. Monson,2 July 1985,Gordon B. Hinckley,4,3,No,Limited,"Sloping roof, six spire",John Sjostrom and Church A&E Services
35Operating,Chicago Illinois Temple edit,Illinois,United States,North America,13,37062,112,"April 1, 1981","August 13, 1983",Gordon B. Hinckley,"August 9, 1985",Gordon B. Hinckley,5,4,No,Limited,"Sloping roof, six spire",Wight & Co and Church A&E Services
36Operating,Johannesburg South Africa Temple edit,Gauteng,South Africa,Africa,1,19184,112,1 April 1981,27 November 1982,Marvin J. Ashton,24 August 1985,Gordon B. Hinckley,4,3,No,No,"Sloping roof, six-spire",Church A&E Services and Halford & Halford
37Operating,Seoul Korea Temple edit,Seoul,South Korea,Asia,1,28057,112,1 April 1981,9 May 1983,Marvin J. Ashton,14 December 1985,Gordon B. Hinckley,1,3,yes,Limited,"Sloping roof, six spire",Church A&E Services and Komerican Architects
38Operating,Lima Peru Temple edit,Lima,Peru,South America,0,,0,1 April 1981,11 September 1982,Boyd K. Packer,10 January 1986,Gordon B. Hinckley,4,3,No,Full,"Sloping roof, six-spire",Jesse M. Harris
39Operating,Buenos Aires Argentina Temple edit,Buenos Aires,Argentina,South America,3.73,30659,112,2 April 1980,20 April 1983,Bruce R. McConkie,17 January 1986,Thomas S. Monson,4,3,No,Full,"Sloping roof, six spire",Ramon Paez and Church A&E Services
40Operating,Denver Colorado Temple edit,Colorado,United States,North America,7.5,29177,90,"March 31, 1982","May 19, 1984",Gordon B. Hinckley,"October 24, 1986",Ezra Taft Benson,4,6,No,No,"Modern, single spire",Church A&E Services and Bobby R. Thomas
41Operating,Frankfurt Germany Temple edit,Hesse,Germany,Europe,5.6,32895,82,1 April 1981,1 July 1985,Gordon B. Hinckley,28 August 1987,Ezra Taft Benson,4,4,No,Limited,"Sloping roof, single detached spire",Church A&E Services and Borchers-Metzner-Kramer
42Operating,Portland Oregon Temple edit,Oregon,United States,North America,7.3,80500,181,"April 7, 1984","September 20, 1986",Gordon B. Hinckley,"August 19, 1989",Gordon B. Hinckley,4,14,Available,Available,"Sloping roof, six spire",Leland A. Gray
43Operating,Las Vegas Nevada Temple edit,Nevada,United States,North America,10.3,80350,137,"April 7, 1984","November 30, 1985",Gordon B. Hinckley,"December 16, 1989",Gordon B. Hinckley,4,6,Not available,Available,"Sloping roof, six spire",Tate & Snyder Architects
44Operating,Toronto Ontario Temple edit,Ontario,Canada,North America,13.4,57982,171,7 April 1984,10 October 1987,Thomas S. Monson,25 August 1990,Gordon B. Hinckley,4,6,No,Limited Vending,"Modern, single spire",Allward-Gouinlock Inc.
45Operating,San Diego California Temple edit,California,United States,North America,7.2,72000,169,"April 7, 1984","February 27, 1988",Ezra Taft Benson,"April 25, 1993",Gordon B. Hinckley,4,8,No,Full,"Modern, two-tower","William S. Lewis, Jr."
46Operating,Orlando Florida Temple edit,Florida,United States,North America,13,70000,165,"April 6, 1991","June 20, 1992",James E. Faust,"October 9, 1994",Howard W. Hunter,4,5,No,Limited,"Classic modern, center spire",Scott Partnership Architects
47Operating,Bountiful Utah Temple edit,Utah,United States,North America,9,104000,176,"April 6, 1991","May 2, 1992",Ezra Taft Benson,"January 8, 1995",Howard W. Hunter,4,8,No,Full,"Classic modern, center spire",Allen B. Erekson
48Closed for renovation,Hong Kong China Temple edit,Hong Kong,China,Asia,0.3,21744,135,3 October 1992,22 January 1994,John K. Carmack,26 May 1996,Gordon B. Hinckley,2,2,No,No,"Hong Kong Colonial, single spire",Liang Peddle Thorpe Architects
49Operating,Mount Timpanogos Utah Temple edit,Utah,United States,North America,16.7,107240,190,"October 3, 1992","October 9, 1993",Gordon B. Hinckley,"October 13, 1996",Gordon B. Hinckley,4,8,No,Full,"Classic modern, single spire","Allen Erekson, Keith Stepan, and Church A&E Services"
50Operating,St. Louis Missouri Temple edit,Missouri,United States,North America,14,58749,150,"December 29, 1990","October 30, 1993",Gordon B. Hinckley,"June 1, 1997",Gordon B. Hinckley,4,4,No,Limited,"Classic modern, single spire",Chiodini Associates
51Operating,Vernal Utah Temple edit,Utah,United States,North America,1.6,38771,0,"February 13, 1994","May 13, 1995",Gordon B. Hinckley,"November 2, 1997",Gordon B. Hinckley,2,3,No,No,Existing building adapted,FFKR Architects
52Operating,Preston England Temple edit,North West England,United Kingdom,Europe,15,69630,159,19 October 1992,12 June 1994,Gordon B. Hinckley,7 June 1998,Gordon B. Hinckley,4,4,No,Full,"Modern, single spire",Church A&E Services
53Operating,Monticello Utah Temple edit,Utah,United States,North America,1.33,11225,66,"October 4, 1997","November 17, 1997",Ben B. Banks,"July 26, 1998",Gordon B. Hinckley,2,2,No,No,Smaller and remote area 1[1],Church A&E Services
54Operating,Anchorage Alaska Temple edit,Alaska,United States,North America,5.4,11937,71,"October 4, 1997","April 17, 1998",F. Melvin Hammond,"January 9, 1999",Gordon B. Hinckley,2,1,Not available,Not available,,McCool Carlson Green
55Operating,Colonia Juárez Chihuahua Mexico Temple edit,Chihuahua,Mexico,North America,2.56,6800,71,4 October 1997,7 March 1998,Eran A. Call,6 March 1999,Gordon B. Hinckley,1,1,No,No,Smaller and remote area 1[1],Alvaro Inigo and Church A&E Services
56Operating,Madrid Spain Temple edit,Madrid,Spain,Europe,3.5,45800,0,4 April 1993,11 June 1996,Gordon B. Hinckley,19 March 1999,Gordon B. Hinckley,4,4,No,Full,"Classic modern, single-spire","Arquitechior Langdon, SA."
57Operating,Bogotá Colombia Temple edit,Distrito Capital,Colombia,South America,3.71,53500,124,7 April 1984,26 June 1993,William R. Bradford,24 April 1999,Gordon B. Hinckley,4,3,No,Full,"Classic modern, single spire",Cerrano y Gomez Cuellar
58Operating,Guayaquil Ecuador Temple edit,Guayas,Ecuador,South America,6.2,45000,0,31 March 1982,10 August 1996,Richard G. Scott,1 August 1999,Gordon B. Hinckley,4,3,No,Full,"Classic modern, single spire","Rafael Velez Calisto, Architects & Consultants and Church A&E Services"
59Operating,Spokane Washington Temple edit,Washington,United States,North America,2,10700,71,"August 13, 1998","October 10, 1998",F. Melvin Hammond,"August 21, 1999",Gordon B. Hinckley,2,2,No,No,,
60Closed for renovation,Columbus Ohio Temple edit,Ohio,United States,North America,1.35,10700,71,"April 25, 1998","September 12, 1998",John K. Carmack,"September 4, 1999",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Firestone J. Mullin
61Operating,Bismarck North Dakota Temple edit,North Dakota,United States,North America,1.6,10700,71,"July 29, 1998","October 17, 1998",Kenneth Johnson,"September 19, 1999",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Ritterbush-Ellig-Hulsing and Church A&E Services
62Operating,Columbia South Carolina Temple edit,South Carolina,United States,North America,3.6,10700,71,"September 11, 1998","December 5, 1998",Gordon T. Watts,"October 16, 1999",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire",Mike Watson
63Operating,Detroit Michigan Temple edit,Michigan,United States,North America,6.34,10700,71,"August 10, 1998","October 10, 1998",Jay E. Jensen,"October 23, 1999",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Joan Coakley
64Operating,Halifax Nova Scotia Temple edit,Nova Scotia,Canada,North America,2,10700,71,"May 7, 1998","October 12, 1998",Jay E. Jensen,"November 14, 1999",Gordon B. Hinckley,2,2,No,No,,"L.A. Beaubien and Associates, and Church A&E Services"
65Operating,Regina Saskatchewan Temple edit,Saskatchewan,Canada,North America,1,10700,71,"August 3, 1998","November 14, 1998",Hugh W. Pinnock,"November 14, 1999",Boyd K. Packer,2,2,No,No,"Classic modern, single spire[2]",Roger B. Mitchell and Church A&E Services
66Operating,Billings Montana Temple edit,Montana,United States,North America,10,33800,0,"August 30, 1996","March 30, 1998",Hugh W. Pinnock,"November 20, 1999",Gordon B. Hinckley,2,3,No,Limited,"Classic modern, single spire",CTA Architects Engineers
67Operating,Edmonton Alberta Temple edit,Alberta,Canada,North America,1,10700,71,"August 11, 1998","February 27, 1999",Yoshihiko Kikuchi,"December 11, 1999",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Robert Bennett and Church A&E Services
68Operating,Raleigh North Carolina Temple edit,North Carolina,United States,North America,3.17,12864,71,"September 3, 1998","February 6, 1999",Loren C. Dunn,"December 18, 1999",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Dan Dills
69Operating,St. Paul Minnesota Temple edit,Minnesota,United States,North America,7.5,10700,71,"July 29, 1998","September 26, 1998",Hugh W. Pinnock,"January 9, 2000",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]","Ed Kodet, Jr. and Church A&E Services"
70Operating,Kona Hawaii Temple edit,Hawaii,United States,North America,7.02,10700,71,"May 7, 1998","March 13, 1999",John B. Dickson,"January 23, 2000",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]","Church A & E Services, Bob Lowder"
71Operating,Ciudad Juárez Mexico Temple edit,Chihuahua,Mexico,North America,1.64,10700,71,7 May 1998,9 January 1999,Eran A. Call,26 February 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
72Operating,Hermosillo Sonora Mexico Temple edit,Sonora,Mexico,North America,1.54,10769,71,20 July 1998,5 December 1998,Eran A. Call,27 February 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire",Alvaro Inigo and Church A&E Services
73Operating,Albuquerque New Mexico Temple edit,New Mexico,United States,North America,8.5,34245,0,"April 4, 1997","June 20, 1998",Lynn A. Mickelsen,"March 5, 2000",Gordon B. Hinckley,2,3,No,No,"Classic modern, single spire",Fanning Bard & Tatum
74Operating,Oaxaca Mexico Temple edit,Oaxaca,Mexico,North America,1.87,10700,71,3 February 1999,13 March 1999,Carl B. Pratt,11 March 2000,James E. Faust,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
75Operating,Tuxtla Gutiérrez Mexico Temple edit,Chiapas,Mexico,North America,1.56,10700,71,25 February 1999,20 March 1999,Richard E. Turley Sr.,12 March 2000,James E. Faust,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
76Operating,Louisville Kentucky Temple edit,Kentucky,United States,North America,3,10700,71,"March 17, 1999","May 29, 1999",John K. Carmack,"March 19, 2000",Thomas S. Monson,2,2,Not available,Not available,"Classic modern, single spire[2]",Firestone Jaros Mullin--Mike Karpinski Architect
77Operating,Palmyra New York Temple edit,New York,United States,North America,5,10900,71,"February 21, 1999","May 25, 1999",Gordon B. Hinckley,"April 6, 2000",Gordon B. Hinckley,2,2,Available,Not available,,Dave A. RichardsChurch A&E Services
78Operating,Fresno California Temple edit,California,United States,North America,2.34,10700,71,"January 8, 1999","March 20, 1999",John B. Dickson,"April 9, 2000",Gordon B. Hinckley,2,2,Not available,Not available,"Classic modern, single spire",Paul Stommel AIA
79Operating,Medford Oregon Temple edit,Oregon,United States,North America,2,10700,71,"March 15, 1999","May 20, 1999",D. Lee Tobler,"April 16, 2000",James E. Faust,2,2,Not available,Not available,"Classic modern, single spire[2]","Dan Park, Church A&E Services, Joseph E. Marty, Architect"
80Operating,Memphis Tennessee Temple edit,Tennessee,United States,North America,6.35,10890,71,"September 17, 1998","January 16, 1999",Gordon T. Watts,"April 23, 2000",James E. Faust,2,2,Not available,Not available,"Classic modern, single spire[2]",Dusty DriverChurch A&E Services
81Operating,Reno Nevada Temple edit,Nevada,United States,North America,7.9,10700,71,"April 12, 1999","July 24, 1999",Rex D. Pinegar,"April 23, 2000",Thomas S. Monson,2,2,Not available,Not available,"Classic modern, single spire[2]",Church A&E Services
82Operating,Cochabamba Bolivia Temple edit,Cochabamba,Bolivia,South America,6.67,33302,0,13 January 1995,10 November 1996,Gordon B. Hinckley,30 April 2000,Gordon B. Hinckley,2,3,No,Full,"Classic modern, single spire",BSW and Church A&E Services
83Operating,Tampico Mexico Temple edit,Tamaulipas,Mexico,North America,2.96,10700,71,8 July 1998,28 November 1998,Eran A. Call,20 May 2000,Thomas S. Monson,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
84Operating,Nashville Tennessee Temple edit,Tennessee,United States,North America,6.86,10700,71,"November 9, 1994","March 13, 1999",John K. Carmack,"May 21, 2000",James E. Faust,2,2,No,No,"Classic modern, single spire[2]",Robert Waldrip and Church A&E Services
85Operating,Villahermosa Mexico Temple edit,Tabasco,Mexico,North America,1.36,10700,71,30 October 1998,9 January 1999,Richard E. Turley Sr.,21 May 2000,Thomas S. Monson,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
86Operating,Montreal Quebec Temple edit,Quebec,Canada,North America,2.4,11550,71,6 August 1998,9 April 1999,Gary J. Coleman,4 June 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]","Andrij Serbyn, Fichten Soiferman and Church A&E Services"
87Operating,San José Costa Rica Temple edit,San José,Costa Rica,North America,1.93,10700,71,17 March 1999,24 April 1999,Lynn G. Robbins,4 June 2000,James E. Faust,2,2,No,No,"Classic modern, single spire[2]",Álvaro Íñigo and Church A&E Services
88Operating,Fukuoka Japan Temple edit,Fukuoka,Japan,Asia,1.25,10700,71,"May 7, 1998","March 20, 1999",L. Lionel Kendrick,"June 11, 2000",Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3[3],Kanji Moriya and Church A&E Services
89Operating,Adelaide Australia Temple edit,South Australia,Australia,Oceania,6.94,10700,71,17 March 1999,29 May 1999,Vaughn J. Featherstone,15 June 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Simon Drew
90Operating,Melbourne Australia Temple edit,Victoria,Australia,Oceania,5.98,10700,71,"October 30, 1998","March 20, 1999",P. Bruce Mitchell,"June 16, 2000",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Warwick Tempany and Church A&E Services
91Operating,Suva Fiji Temple edit,Rewa,Fiji,Oceania,4.7,12755,71,7 May 1998,8 May 1999,Earl M. Monson,18 June 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Conway Beg
92Operating,Mérida Mexico Temple edit,Yucatán,Mexico,North America,1.53,10700,71,25 September 1998,16 January 1999,Carl B. Pratt,8 July 2000,Thomas S. Monson,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
93Operating,Veracruz Mexico Temple edit,Veracruz,Mexico,North America,3.39,10700,71,14 April 1999,29 May 1999,Carl B. Pratt,9 July 2000,Thomas S. Monson,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
94Operating,Baton Rouge Louisiana Temple edit,Louisiana,United States,North America,6.3,10890,71,"October 14, 1998","May 8, 1999",Monte J. Brough,"July 16, 2000",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Paul Tessier & Associates and Church A&E Services.
95Operating,Oklahoma City Oklahoma Temple edit,Oklahoma,United States,North America,1,10890,71,"March 14, 1999","July 3, 1999",Rex D. Pinegar,"July 30, 2000",James E. Faust,2,2,Not available,Not available,"Classic modern, single spire",Richard Lueb and Church A&E Services
96Operating,Caracas Venezuela Temple edit,Distrito Capital,Venezuela,South America,0.5,15332,0,30 September 1995,10 January 1999,Francisco J. Viñas,20 August 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire",Taller de Arquitectura and Church A&E Services
97Operating,Houston Texas Temple edit,Texas,United States,North America,11,33970,159,"September 30, 1997","June 13, 1998",Lynn A. Mickelsen,"August 26, 2000",Gordon B. Hinckley,2,3,No,No,"Classic modern, single spire",Spencer Partnership Architects and Church A&E Services
98Operating,Birmingham Alabama Temple edit,Alabama,United States,North America,5.6,10700,71,"September 11, 1998","October 9, 1999",Stephen A. West,"September 3, 2000",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Robert Waldrip and Church A&E Services
99Operating,Santo Domingo Dominican Republic Temple edit,National District,Dominican Republic,North America,6.42,67000,0,"November 16, 1993","August 18, 1996",Richard G. Scott,"September 17, 2000",Gordon B. Hinckley,2,2,No,Limited,"Classic modern, single spire",Scott Partnership and Church A&E Services
100Operating,Boston Massachusetts Temple edit,Massachusetts,United States,North America,8,69600,139,"September 30, 1995","June 13, 1997",Richard G. Scott,"October 1, 2000",Gordon B. Hinckley,4,4,No,Vending,"Classic modern, single spire",Tsoi/Kobus & Associates and Church A&E Services
101Operating,Recife Brazil Temple edit,Pernambuco,Brazil,South America,5.59,37200,0,13 January 1995,11 November 1996,Gordon B. Hinckley,15 December 2000,Gordon B. Hinckley,2,3,No,Full,"Classic modern, single spire",Jerônimo da Cunha Lima (J&P Arquitetos Ltda.) and Church A&E Services
102Operating,Porto Alegre Brazil Temple edit,Rio Grande do Sul,Brazil,South America,2,10700,71,30 September 1997,2 May 1998,James E. Faust,17 December 2000,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Andre Belo de Faria and Church A&E Services
103Operating,Montevideo Uruguay Temple edit,Montevideo,Uruguay,South America,1.59,10700,71,2 November 1998,27 April 1999,Richard G. Scott,18 March 2001,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Edvardo Signorelli
104Operating,Winter Quarters Nebraska Temple edit,Nebraska,United States,North America,1.92,16000,86,"June 14, 1999","November 28, 1999",Hugh W. Pinnock,"April 22, 2001",Gordon B. Hinckley,2,2,Mormon Trail Center,No,Smaller and remote area 2 story,Dan Reinhardt
105Operating,Guadalajara Mexico Temple edit,Jalisco,Mexico,North America,2.69,10700,71,14 April 1999,12 June 1999,Eran A. Call,29 April 2001,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Alvaro Inigo and Church A&E Services
106Operating,Perth Australia Temple edit,Western Australia,Australia,Oceania,2.76,10700,71,"June 11, 1999","November 20, 1999",Kenneth Johnson,"May 20, 2001",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Christou Cassella & JEC
107Operating,Columbia River Washington Temple edit,Washington,United States,North America,2.88,16880,0,"April 2, 2000","October 28, 2000",Stephen A. West,"November 18, 2001",Gordon B. Hinckley,2,2,No,No,,"A & E Services, Joseph E. Marty Architect"
108Operating,Snowflake Arizona Temple edit,Arizona,United States,North America,7.5,18621,0,"April 2, 2000","September 23, 2000",Rex D. Pinegar,"March 3, 2002",Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3[4],Trest Polina
109Operating,Lubbock Texas Temple edit,Texas,United States,North America,2.7,16498,0,"April 2, 2000","November 4, 2000",Rex D. Pinegar,"April 21, 2002",Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3,Tisdel Minckler and Associates.
110Operating,Monterrey Mexico Temple edit,Nuevo León,Mexico,North America,7.78,16498,0,21 December 1995,4 November 2000,Lynn A. Mickelsen,28 April 2002,Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3,Alvaro Inigo
111Operating,Campinas Brazil Temple edit,São Paulo,Brazil,South America,6.18,49100,0,3 April 1997,1 May 1998,James E. Faust,17 May 2002,Gordon B. Hinckley,4,3,No,Full,"Classic modern, single spire","JCL Arquitetos Ltd., and Church A&E Services"
112Operating,Asunción Paraguay Temple edit,Distrito Capital,Paraguay,South America,1.13,11906,71,2 April 2000,3 February 2001,Jay E. Jensen,19 May 2002,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]",Eduardo Signorelli
113Operating,Nauvoo Illinois Temple edit,Illinois,United States,North America,3.3,54000,162,"April 4, 1999","October 24, 1999",Gordon B. Hinckley,"June 27, 2002",Gordon B. Hinckley,4,6,Yes,No,Greek revival,FFKR Architecture[5] based on design by William Weeks
